age,gender,income,education,label
58,Female,110015,PhD,1
48,Female,42403,Bachelors,1
34,Female,38141,Bachelors,1
27,Female,74820,PhD,1
40,Female,100342,PhD,1
58,Female,66374,PhD,1
38,Female,21678,Bachelors,1
42,Female,112394,PhD,1
30,Female,113788,PhD,1
30,Female,53827,Bachelors,0
43,Female,115820,PhD,1
55,Male,36198,Bachelors,1
59,Male,49914,Masters,1
43,Female,87890,PhD,1
22,Female,62299,Masters,0
41,Female,22693,Bachelors,0
21,Female,89467,PhD,1
43,Female,49723,Bachelors,1
49,Female,43627,Masters,1
57,Female,45939,Bachelors,1
21,Female,108925,PhD,1
40,Male,102941,PhD,1
52,Female,61834,Masters,1
31,Male,38047,Bachelors,0
41,Female,86105,PhD,0
44,Female,50230,Masters,1
46,Male,75707,PhD,1
47,Female,81976,PhD,1
35,Male,43776,Bachelors,1
34,Female,90080,PhD,1
22,Female,21306,Bachelors,0
56,Male,66776,PhD,1
26,Female,67251,Masters,1
40,Male,115016,PhD,1
28,Female,29474,Bachelors,0
58,Male,41959,Bachelors,0
37,Male,45530,Masters,1
23,Female,89320,PhD,1
44,Female,113565,PhD,1
33,Male,43748,Masters,1
28,Female,91968,PhD,1
45,Female,92562,PhD,1
21,Female,33545,Bachelors,0
39,Male,60663,PhD,0
47,Male,94766,PhD,1
26,Male,47994,Masters,0
27,Male,68021,Masters,0
54,Male,50303,Bachelors,1
33,Male,110647,PhD,1
36,Male,63304,PhD,0
